url,title,price_raw,price_mnt,location,district,khoroo,date_posted,area_m2,rooms,floor,total_floors,year_built,balcony,garage,window_type,window_count,door_type,floor_material,payment_terms,elevator,construction_status
https://www.unegui.mn/adv/10344953_bzd-42-r-khoroo-ikh-mandal-tsogtsolbor-khotkhon-60-78mkv-3-oroo-oron/,БЗД 42-р хороо их мандал цогцолбор хотхон 60.78мкв 3 өрөө,268 сая ₮,268000000.0,"Баянзүрх, Баянзүрх, Хороо 42",Баянзүрх,Хороо 42,Нийтэлсэн: Өчигдөр 18:18,60.78,3,3,16,2025,1 тагттай,Байхгүй,Вакум,2,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10331550_bzd-26-r-khoroo-undesnii-tsetserlegt-khureelengiin-khoino-santo-life-khotkhond-3-oroo/,Бзд 26-р хороо үндэсний цэцэрлэгт хүрээлэнгийн хойно santo life хотхонд 3 өрөө 75мкв байр,560 сая ₮,560000000.0,"Баянзүрх, Баянзүрх, Хороо 26",Баянзүрх,Хороо 26,Нийтэлсэн: Өчигдөр 18:18,75.0,3,17,23,2025,1 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10328138_bzd-13-dugaar-khoroolold-khuuchnaar-40mkv-gal-togoo-tusdaa-3-oroo-oron-suuts/,БЗД 13 дугаар хороололд гал тогоо тусдаа 3 өрөө 40мкв,315 сая ₮ Үнэ тохирно,315000000.0,"Баянзүрх, 13-р хороолол",Баянзүрх,13-р хороолол,Нийтэлсэн: Өчигдөр 18:18,40.0,3,9,9,2000,1 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10327103_skhd-dolgoon-nuur-4-r-surguuliin-zuun-tald-73-5-m-3-oroo-oron-suuts/,СХД дөлгөөн нуур 3 өрөө 73.5мкв,265 сая ₮,265000000.0,"Сүхбаатар, Сүхбаатар, Хороо 9",Сүхбаатар,Хороо 9,Нийтэлсэн: Өчигдөр 18:18,73.5,3,9,16,2020,1 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10323921_khamgiin-khiamd-uned-3-oroo-tom-bair-bzd-zhukov-tarvalin-khotkhond-74-9mkv-oron-suuts/,БЗД жуков тарвалин хотхонд 3 өрөө 74.9мкв,235 сая ₮,235000000.0,"Баянзүрх, Баянзүрх, Хороо 5",Баянзүрх,Хороо 5,Нийтэлсэн: Өчигдөр 18:18,74.9,3,7,12,2014,2 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10323154_sbd-3-surguuliin-khoino-uilchilgeegeer-ashiglakh-bolomzhtoi-orgotgoltei-3-oroo/,"Сбд, 3 сургуулийн хойно 101.1мкв 3 өрөө орон сууц",530 сая ₮,530000000.0,"Сүхбаатар, Орос 3-р сургуулийн ойролцоо",Сүхбаатар,Орос 3-р сургуулийн ойролцоо,Нийтэлсэн: Өчигдөр 18:18,100.1,3,1,6,2009,Тагтгүй,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10320793_sbd-1-r-khoroo-narny-zam-55-apartmentd-112-54mkv-3-oroo-oron-suuts/,Сбд 1-р хороо нарны зам 55 апартментад 3 өрөө 112.54мкв орон сууц,505.43 сая ₮,505430000.0,"Сүхбаатар, Сүхбаатар, Хороо 1",Сүхбаатар,Хороо 1,Нийтэлсэн: Өчигдөр 18:18,112.54,3,7,15,2018,2 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10317556_sbd-khunsnii-4-novotel-zochid-buudlyn-ard-bairlakh-10-bairand-91-94-mkv-3-oroo/,Сбд хүнсний 4 ногоон урлан хотхонд 91.94 мкв 3 өрөө байр,515 сая ₮,515000000.0,"Чингэлтэй, Хүнсний 4-р дэлгүүр",Чингэлтэй,Хүнсний 4-р дэлгүүр,Нийтэлсэн: Өчигдөр 18:18,91.94,3,7,10,2008,1 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10317414_bzd-26-r-khoroo-saruul-khoroolold-88-2mkv-talbaitai-3-oroo-bair/,Бзд 26-р хороо саруул хороололд 3 өрөө 88.2мкв байр,375 сая ₮,375000000.0,"Баянзүрх, Баянзүрх, Хороо 26",Баянзүрх,Хороо 26,Нийтэлсэн: Өчигдөр 18:18,88.2,3,4,16,2018,1 тагттай,Байхгүй,Вакум,5,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10303869_baianzurkh-duurgiin-khaldvartyn-etses-14-r-khoroony-chankh-zuun-ard-bairlaltai-68mkv/,Баянзүрх дүүргийн халдвартын эцэс 14-р хорооны зүүн ард 68мкв 3 өрөө,306 сая ₮,306000000.0,"Баянзүрх, Халдвартын эмнэлэг",Баянзүрх,Халдвартын эмнэлэг,Нийтэлсэн: Өчигдөр 18:18,68.0,3,12,16,2023,Тагтгүй,Байхгүй,Вакум,3,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10298092_khunnu-2222-2-r-eelzh-80m2-mastertai-3-oroo/,Хүннү 2222 2-р ээлж мастертай 3 өрөө 80м2 байр,640 сая ₮,640000000.0,"Хан-Уул, Хан-Уул, Хороо 15",Хан-Уул,Хороо 15,Нийтэлсэн: Өчигдөр 18:18,80.0,3,18,23,2023,1 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Бэлэн төлөлтөөр зарах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10295081_bzd-26-r-khoroo-saruul-khoroolold-72-6mkv-3-oroo-bair/,Бзд 26-р хороо саруул хороололд 3 өрөө 72.6мкв байр,327 сая ₮,327000000.0,"Баянзүрх, Баянзүрх, Хороо 26",Баянзүрх,Хороо 26,Нийтэлсэн: Өчигдөр 18:18,72.6,3,5,12,2018,1 тагттай,Байхгүй,Вакум,2,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10292282_skhd-5-sharyn-zaluus-khoroolold-khuuchny-39-83mkv-3-oroo/,Схд 5 шарын залуус хороололд 3 өрөө 39.83мкв байр,108 сая ₮ Үнэ тохирно,108000000.0,"Сонгинохайрхан, 5 шар",Сонгинохайрхан,5 шар,Нийтэлсэн: Өчигдөр 18:18,39.83,3,13,16,2012,2 тагттай,Байхгүй,Вакум,3,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
https://www.unegui.mn/adv/10292266_bgd-tsengeldekh-khotkhond-70mkv-3-oroo-oron-suuts/,ХУД цэнгэлдэх хотхонд 70мкв 3 өрөө,580 сая ₮,580000000.0,"Хан-Уул, Хан-Уул, Хороо 15",Хан-Уул,Хороо 15,Нийтэлсэн: Өчигдөр 18:18,70.0,3,23,23,2022,1 тагттай,Байхгүй,Вакум,4,Бүргэд,Паркет,Банкны зээлээр авах боломжтой,Цахилгаан шаттай,Ашиглалтад орсон
