price_mnt,log_price,area_m2,rooms,floor,total_floors,floor_ratio,building_age,year_built,has_balcony,balcony_count,has_garage,has_elevator,is_finished,district,district_grouped,window_type,door_type,floor_material,price_per_m2
250650000.0,19.339568101673787,55.7,2,8.0,16.0,0.5,0,2026,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,4500000.0
1800000000.0,21.31105250184853,309.0,5,3.0,6.0,0.5,9,2016,1,2,1,0,1,Хан-Уул,Хан-Уул,Вакум,Вакум,Паркет,5825242.718446602
3040000000.0,21.83512335236454,230.62,5,17.0,23.0,0.7391304347826086,2,2023,1,2,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,13181857.601248808
3480000000.0,21.970298130732793,304.11,5,10.0,10.0,1.0,3,2022,1,1,1,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,11443227.77942192
835000000.0,20.54294228281513,167.0,4,6.0,15.0,0.4,6,2019,1,0,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,5000000.0
105000000.0,18.469470908121796,22.0,1,5.0,5.0,1.0,15,2010,1,1,0,0,1,Сонгинохайрхан,Сонгинохайрхан,Вакум,Төмөр,Мод,4772727.2727272725
654500000.0,20.29938214331423,119.0,4,8.0,10.0,0.8,9,2016,1,2,1,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,5500000.0
1150000000.0,20.86302777932157,189.0,4,2.0,6.0,0.3333333333333333,3,2022,1,1,1,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,6084656.084656085
1280000000.0,20.970125914877936,133.0,4,10.0,22.0,0.45454545454545453,4,2021,1,0,1,0,1,Баянзүрх,Баянзүрх,Төмөр вакум,Бүргэд,Паркет,9624060.15037594
2500000000.0,21.639556568820566,155.0,4,7.0,7.0,1.0,6,2019,1,3,1,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,16129032.258064516
1500000000.0,21.128730945054574,180.0,5,2.0,6.0,0.3333333333333333,10,2015,1,2,1,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,8333333.333333333
128000000.0,18.66754082188389,50.0,2,6.0,6.0,1.0,13,2012,1,0,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,2560000.0
580000000.0,20.17853866150474,146.55,3,4.0,7.0,0.5714285714285714,18,2007,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3957693.61992494
125000000.0,18.643824295266576,28.0,1,1.0,5.0,0.2,17,2008,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4464285.714285715
105000000.0,18.469470908121796,34.5,1,,,,5,2020,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3043478.2608695654
190000000.0,19.06253463012476,45.83,1,1.0,9.0,0.1111111111111111,24,2001,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,4145756.0549858175
778000000.0,20.472237082142666,185.0,5,9.0,10.0,0.9,12,2013,1,2,1,0,1,Сүхбаатар,Сүхбаатар,Төмөр вакум,Төмөр вакум,Паркет,4205405.405405405
120000000.0,18.60300230074632,30.0,1,8.0,16.0,0.5,0,2026,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,4000000.0
346500000.0,19.663393376594232,63.0,2,6.0,12.0,0.5,4,2021,1,1,0,0,1,Орхон,Бусад,Вакум,Вакум,Паркет,5500000.0
400000000.0,19.806975105072254,80.0,3,3.0,16.0,0.1875,0,2026,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр вакум,Паркет,5000000.0
140540000.0,18.761002703728327,39.04,2,3.0,15.0,0.2,8,2017,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3599897.5409836066
290000000.0,19.485391480944795,72.4,3,4.0,12.0,0.3333333333333333,2,2023,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,4005524.861878453
265000000.0,19.395240383950497,80.0,3,4.0,5.0,0.8,45,1980,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3312500.0
